brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,16998.0,C&C,2018.0,55608.0,1.5,manual,petrol,585.043737349315
Audi,17150.0,Hilton,2018.0,56300.0,1.5,manual,petrol,
Audi,17698.0,C&C,2017.0,45771.0,1.5,manual,petrol,
Audi,17799.0,Cazoo,2017.0,33575.0,1.5,manual,petrol,2091.000951513559
Audi,17799.0,Fords_of_Winsford,2018.0,43390.0,1.6,manual,diesel,1238.8539303645775
Audi,18150.0,Hilton,2017.0,48005.0,2.0,automatic,diesel,-1994.18145020874
Audi,18200.0,BMWorld,2018.0,50737.0,1.0,automatic,petrol,4505.220211626245
Audi,18200.0,BMWorld,2018.0,45000.0,1.5,manual,petrol,1143.3357356136949
Audi,18600.0,BMWorld,2019.0,41880.0,1.0,manual,petrol,3969.735447616833
Audi,18600.0,BMWorld,2019.0,33976.0,1.6,automatic,diesel,
Audi,18699.0,Fords_of_Winsford,2019.0,49550.0,1.5,manual,petrol,-437.19354603574175
Audi,18799.0,Cazoo,2019.0,32776.0,1.6,manual,diesel,-238.27522126999247
Audi,18998.0,C&C,2017.0,45017.0,1.5,manual,petrol,
Audi,18999.0,Castle_Donington,2018.0,47086.0,2.0,manual,diesel,
Audi,19199.0,Cazoo,2018.0,41941.0,1.5,manual,petrol,2084.716506769164
Audi,19200.0,Hilton,2018.0,26500.0,1.5,manual,petrol,-90.36428348419213
Audi,19400.0,Marshall,2018.0,59527.0,1.5,automatic,petrol,1199.0133946297974
Audi,19499.0,Cazoo,2019.0,37773.0,1.0,automatic,petrol,2779.11173870373
Audi,19699.0,Cannock,2018.0,37001.0,1.5,manual,petrol,1159.3354659185097
Audi,19899.0,Fords_of_Winsford,2018.0,23020.0,1.0,manual,petrol,5431.159016382164
Audi,19899.0,Cazoo,2019.0,23950.0,1.0,manual,petrol,3940.4317148649643
Audi,19900.0,Marshall,2019.0,24346.0,1.0,manual,petrol,3328.348039269964
Audi,19949.0,Cazoo,2017.0,28007.0,2.0,manual,diesel,895.1938144600972
Audi,19999.0,Cazoo,2019.0,36296.0,1.5,manual,petrol,281.2321034302513
Audi,20049.0,Cazoo,2018.0,34035.0,1.5,manual,petrol,2259.1713727565766
Audi,20100.0,BMWorld,2019.0,31592.0,1.0,automatic,petrol,2648.199341155174
Audi,20349.0,Cazoo,2018.0,18343.0,1.5,manual,petrol,
Audi,20499.0,Cazoo,2019.0,51734.0,1.5,automatic,petrol,157.90926759648573
Audi,20699.0,Castle_Donington,2018.0,33387.0,1.5,manual,petrol,2070.267258224292
Audi,20849.0,Cazoo,2020.0,22734.0,1.0,manual,petrol,2665.392719892676
Audi,20850.0,Marshall,2018.0,24421.0,1.0,manual,petrol,6405.891840983397
Audi,20899.0,Cazoo,2019.0,33917.0,1.0,automatic,petrol,3849.627544832001
Audi,20900.0,BMWorld,2019.0,18009.0,1.5,manual,petrol,
Audi,20998.0,C&C,2019.0,16849.0,1.5,manual,petrol,-847.9374491492708
Audi,20999.0,Cazoo,2019.0,40257.0,2.0,automatic,diesel,-3192.8050534785216
Audi,21200.0,Marshall,2018.0,25456.0,1.5,manual,petrol,2030.1995643817172
Audi,21400.0,Marshall,2018.0,11533.0,1.5,manual,petrol,1040.518954611598
Audi,21499.0,Cazoo,2019.0,38776.0,1.5,automatic,petrol,
Audi,21800.0,Hilton,2019.0,30000.0,1.5,automatic,petrol,-1254.8904106313785
Audi,21900.0,Marshall,2019.0,21288.0,1.5,manual,petrol,
Audi,22050.0,Marshall,2018.0,44697.0,1.5,automatic,petrol,2581.832223696849
Audi,22149.0,Cazoo,2018.0,33678.0,1.5,automatic,petrol,2386.2108703770027
Audi,22199.0,Cazoo,2018.0,26330.0,1.5,automatic,petrol,1808.345243673055
Audi,22449.0,Cazoo,2019.0,32320.0,1.5,automatic,petrol,449.03838071278733
Audi,22499.0,Cazoo,2018.0,14501.0,1.5,automatic,petrol,1097.5909570271433
